"week","det_count","deltaQDanlf","deltaQTralf","deltaTDanlf","deltaTTralf","deltaQDanmm","deltaTDanmm","deltaQTramm","deltaTTramm","QDanmin","QDanmax","QTramin","QTramax","QDan","TDan","QTra","TTra","weekly_count","add_tag","age_class","species"
2023-06-25,1,-330,2.9,0.800000000000001,1.5,380,0.800000000000001,3.9,1.8,1210,1590,7.8,11.7,1320,19.8,8.8,19.2,0,93,"1","Barbus barbus"
2023-07-02,1,-340,-2.3,0.399999999999999,1.1,350,0.699999999999999,2.3,1.1,1250,1600,7.1,9.4,1352,19.8,8.1,20.2,0,93,"1","Barbus barbus"
2023-07-09,1,280,-0.2,1.2,0,500,1.2,1,1.2,1140,1640,6.8,7.8,1287,21,7.1,21.5,0,93,"1","Barbus barbus"
2023-07-16,1,120,-0.899999999999999,-0.399999999999999,-2.6,180,0.899999999999999,0.899999999999999,2.7,1180,1360,5.9,6.8,1254,22,6.4,21.4,4,97,"1","Barbus barbus"
2023-07-23,1,240,-0.2,-1.8,-0.199999999999999,630,2.2,0.7,2.9,1080,1710,5.7,6.4,1392,21.1,6.1,19.7,4,101,"1","Barbus barbus"
2023-07-30,3,730,5.4,-1.2,NA,790,1.2,5.6,NA,1450,2240,5.4,11,1694,19.1,6.9,19.9,15,116,"1","Barbus barbus"
2023-08-06,4,-1990,-13.8,-1.3,NA,1990,2.7,13.8,NA,2080,4070,7.9,21.7,2972,16,12.6,NA,9,125,"1","Barbus barbus"
2023-08-13,1,-230,0.7,3.5,NA,230,3.5,2.2,NA,1580,1810,6.3,8.5,1677,18.8,7.4,22.1,0,125,"1","Barbus barbus"
2023-08-20,2,-190,-0.2,1.4,NA,190,1.4,0.3,NA,1260,1450,7.8,8.1,1324,21.9,7.9,NA,0,125,"1","Barbus barbus"
2023-08-27,4,1150,-1.7,-5.4,-1,3530,5.8,2.2,3.3,1540,5070,5.7,7.9,3344,18.8,6.8,18.9,0,125,"1","Barbus barbus"
2023-09-10,1,10,0.8,0.600000000000001,-0.899999999999999,260,0.800000000000001,3.4,1.2,1270,1530,4.7,8.1,1358,19,5.6,19.5,33,158,"1","Barbus barbus"
2024-07-07,1,800,0.699999999999999,1.3,1.1,800,1.3,1.3,3.4,2190,2990,7.9,9.2,2428,18.9,8.4,17.5,6,218,"1","Barbus barbus"
2024-07-14,3,-840,-1.2,0.699999999999999,0.599999999999998,860,0.699999999999999,1.5,1.6,2110,2970,7.3,8.8,2360,20,7.9,18.4,11,229,"1","Barbus barbus"
2024-07-21,4,-170,-0.100000000000001,0.199999999999999,0.599999999999998,360,0.399999999999999,1.9,0.800000000000001,1910,2270,7.1,9,2088,20.2,8,17.7,0,229,"1","Barbus barbus"
2024-07-28,2,20,-0.7,0.800000000000001,-0.800000000000001,250,1,0.7,1,1560,1810,6.3,7,1684,20.9,6.6,18,20,249,"1","Barbus barbus"
2024-08-04,3,-340,-1,0.199999999999999,1.3,340,0.199999999999999,1.2,1.8,1470,1810,5.8,7,1634,21.1,6.3,17.9,28,277,"1","Barbus barbus"
2024-08-11,1,60,0.5,1.4,0.5,210,1.4,0.5,0.699999999999999,1290,1500,5.6,6.1,1404,22.2,5.8,19.4,10,287,"1","Barbus barbus"
2024-08-18,1,50,-2.3,-2.4,-1,920,2.7,2.3,2.4,1530,2450,5.2,7.5,1930,21.6,6,17.9,0,287,"1","Barbus barbus"
2024-08-25,1,-170,0.100000000000001,0.0999999999999979,0,230,0.599999999999998,0.5,0.5,1340,1570,5,5.5,1458,20.4,5.2,18.7,0,287,"1","Barbus barbus"
2025-06-01,1,210,-3.7,2.4,1.4,760,2.4,5.4,1.7,1510,2270,10.4,15.8,1844,17.2,13.1,15.5,0,303,"1","Barbus barbus"
2025-06-22,1,160,-0.0999999999999996,1.5,1.5,200,1.5,1.9,2,1050,1250,7.5,9.4,1111,21.3,7.9,18.4,0,303,"1","Barbus barbus"
2023-01-01,0,-40,-0.6,0.9,1.6,150,0.9,0.699999999999999,1.6,1280,1430,5.9,6.6,1360,6,6.1,7.8,0,46,"1","Barbus barbus"
2023-01-08,0,60,1.1,-0.0999999999999996,-0.0999999999999996,180,0.2,1.6,0.8,1270,1450,5.7,7.3,1347,6.6,6.7,7.4,0,46,"1","Barbus barbus"
2023-01-15,0,-40,-0.899999999999999,-1.4,-2,90,1.4,1.7,2,1250,1340,5.9,7.6,1292,5.8,6.7,6.3,0,46,"1","Barbus barbus"
2023-01-22,0,-30,-0.2,-0.8,-0.3,100,0.8,0.2,1.1,1100,1200,5.6,5.8,1151,4.5,5.7,5.3,0,46,"1","Barbus barbus"
2023-01-29,0,1620,28.8,0,0.2,1670,0.2,28.8,1.2,1000,2670,5.4,34.2,1354,3.8,13.1,4.9,0,46,"1","Barbus barbus"
2023-02-05,0,-1110,-12.1,-0.8,0.5,1110,0.9,12.1,0.8,1180,2290,7.9,20,1571,3.2,11.7,5,0,46,"1","Barbus barbus"
2023-02-12,0,240,17.1,1.1,2.2,270,1.1,17.1,2.3,1090,1360,8,25.1,1165,3.7,11.1,6.3,0,46,"1","Barbus barbus"
2023-02-19,0,-340,-14.4,1.9,-0.5,580,1.9,24.2,1.1,1520,2100,16.5,40.7,1768,6.5,25.1,8.4,0,46,"1","Barbus barbus"
2023-02-26,0,-420,-5.2,-0.5,0.3,430,0.8,5.2,0.9,1290,1720,11.4,16.6,1420,6.3,13.3,6.9,0,46,"1","Barbus barbus"
2023-03-05,0,290,-1.3,0.100000000000001,0.3,300,0.8,1.3,1.9,1150,1450,9.6,10.9,1224,6.3,10.1,7.5,0,46,"1","Barbus barbus"
2023-03-12,0,40,-1,1,1.1,330,1,1.2,1.1,1340,1670,8.2,9.4,1508,6.6,8.9,7.6,1,47,"1","Barbus barbus"
2023-03-19,0,50,-0.2,2.2,NA,80,2.2,0.3,NA,1390,1470,7.8,8.1,1420,8.7,8,10.8,1,48,"1","Barbus barbus"
2023-03-26,0,690,5.2,-0.700000000000001,-0.0999999999999996,800,0.700000000000001,7.2,2.5,1470,2270,7.9,15.1,1697,9.4,10.7,9,0,48,"1","Barbus barbus"
2023-06-04,0,-160,-0.300000000000001,0,0.300000000000001,260,0.200000000000003,1,0.399999999999999,1780,2040,12.3,13.3,1917,17,12.7,16.7,0,93,"1","Barbus barbus"
2023-06-11,0,-240,-3.8,1.6,1.6,240,1.6,3.8,1.6,1500,1740,10,13.8,1621,17.8,11.2,17,0,93,"1","Barbus barbus"
2023-06-18,0,270,-0.100000000000001,1,-0.900000000000002,340,1.6,0.800000000000001,3.8,1300,1640,9,9.8,1465,19.4,9.3,19.7,0,93,"1","Barbus barbus"
2023-09-03,0,-800,-1,1.4,NA,800,1.5,1,NA,1400,2200,4.7,5.7,1711,17.4,5.2,18.8,0,125,"1","Barbus barbus"
2023-09-17,0,0,-0.4,-0.400000000000002,-1.3,110,0.600000000000001,0.8,1.7,1120,1230,4.8,5.6,1184,19.1,5.2,18.8,0,158,"1","Barbus barbus"
2023-09-24,0,-370,0.0999999999999996,-1,1.3,370,1,0.4,1.9,1020,1390,4.1,4.5,1164,17.6,4.3,17.7,0,158,"1","Barbus barbus"
2023-10-01,0,-53,-0.399999999999999,-1,-1.8,53,1,0.5,1.8,894,947,4.2,4.7,925,16.6,4.5,17,0,158,"1","Barbus barbus"
2023-10-08,0,37,-0.3,-0.0999999999999996,1.2,81,0.5,0.8,2.1,857,938,3.9,4.7,896,15.8,4.2,16.1,0,158,"1","Barbus barbus"
2023-10-15,0,72,-0.4,-1.9,-0.4,89,2.1,0.4,2.7,816,905,3.8,4.2,856,14.1,4,13.7,0,158,"1","Barbus barbus"
2023-10-22,0,171,1.5,-1.4,-1.5,278,1.4,2.2,1.5,842,1120,3.8,6,940,13.1,4.5,14.1,7,165,"1","Barbus barbus"
2023-10-29,0,1040,5,-1,-0.9,1133,1,5,1.1,957,2090,4.4,9.4,1327,12,6.2,12.6,0,165,"1","Barbus barbus"
2023-11-05,0,-470,-2.7,-1.6,-0.800000000000001,470,1.6,3.7,1.3,1180,1650,5.1,8.8,1381,10.1,7,11.8,1,166,"1","Barbus barbus"
2023-11-12,0,2090,5,-0.5,-1.8,2290,0.5,6.9,2.7,1140,3430,7.7,14.6,2537,8.8,10.3,10.9,0,166,"1","Barbus barbus"
2023-11-19,0,-660,8.5,-0.5,-2.8,1810,0.6,9.5,2.9,2600,4410,8.3,17.8,3285,8.3,13.1,9.2,0,166,"1","Barbus barbus"
2023-11-26,0,-90,-3.9,-2.4,-0.899999999999999,230,2.4,6.6,1.9,2180,2410,8.9,15.5,2311,6.3,11.6,7.7,0,166,"1","Barbus barbus"
2023-12-03,0,-340,-1.2,-1,0.6,360,1,1.4,2,1950,2310,10,11.4,2068,3.8,10.6,6.2,0,166,"1","Barbus barbus"
2023-12-10,0,1860,14.1,2.9,-0.0999999999999996,2800,2.9,21.3,1.5,2140,4940,12.8,34.1,3994,5,25.2,7.2,0,166,"1","Barbus barbus"
2023-12-17,0,1850,89.3,-0.800000000000001,-0.9,2730,0.800000000000001,96.7,1.2,2550,5280,13.3,110,3255,6,30.7,6.5,0,166,"1","Barbus barbus"
2023-12-24,0,-3450,-98.8,0.7,0.4,3450,1,98.8,1.4,2870,6320,25.2,124,4411,6.8,57.2,7.7,0,166,"1","Barbus barbus"
2023-12-31,0,110,-4.2,-0.5,-0.0999999999999996,410,0.6,4.3,0.9,2340,2750,18.7,23,2608,6.3,20.3,7,0,166,"1","Barbus barbus"
2024-01-07,0,-1050,-8.2,-2.8,-1.6,1050,2.8,8.2,3,2030,3080,14.4,22.6,2512,4.6,17.5,4.5,0,166,"1","Barbus barbus"
2024-01-14,0,330,0.9,-0.1,0.2,460,0.3,3.8,1.1,1740,2200,13,16.8,1895,2.7,14.2,4.7,0,166,"1","Barbus barbus"
2024-01-21,0,1430,5.1,1.8,2.5,1650,1.8,8.4,2.8,1760,3410,13.2,21.6,2417,3.4,17.1,5.7,0,166,"1","Barbus barbus"
2024-01-28,0,-1010,-3.7,0.100000000000001,0.800000000000001,1010,0.2,3.7,1.6,2140,3150,13,16.7,2442,4.8,14.3,6,0,166,"1","Barbus barbus"
2024-02-04,0,100,-1.4,1.7,0.800000000000001,180,1.7,4.3,1.1,1980,2160,13,17.3,2077,6.2,14.6,8,0,166,"1","Barbus barbus"
2024-02-11,0,-370,-1.6,0.4,0,410,0.4,1.8,0.9,1810,2220,10.9,12.7,2047,7.3,11.6,8.1,0,166,"1","Barbus barbus"
2024-02-18,0,350,1.5,0.4,-1.2,350,0.5,1.6,1.2,1950,2300,11.4,13,2075,7.9,11.8,8.4,0,166,"1","Barbus barbus"
2024-02-25,0,-590,-2,0,1.9,590,0.2,2,2,1770,2360,10.9,12.9,1992,7.8,11.8,8.3,0,166,"1","Barbus barbus"
2024-03-03,0,-100,-1,0,-0.700000000000001,140,0.2,1,1.2,1560,1700,9.5,10.5,1607,7.9,9.9,9,0,166,"1","Barbus barbus"
2024-03-10,0,10,10.3,1,0.699999999999999,300,1,64.9,1.9,1420,1720,9.3,74.2,1541,8.6,30.4,9.1,0,166,"1","Barbus barbus"
2024-03-17,0,270,-6.9,1.2,0.9,380,1.2,6.9,2,1540,1920,13.1,20,1747,9.8,15.8,9.9,0,166,"1","Barbus barbus"
2024-03-24,0,-70,-2,-0.100000000000001,2.1,90,0.5,2,2.5,1660,1750,11.2,13.2,1712,10.1,12.3,9.2,14,180,"1","Barbus barbus"
2024-03-31,0,0,-0.4,1.5,1.7,210,1.5,1.6,3,1710,1920,10.5,12.1,1768,10.9,11.2,11,2,182,"1","Barbus barbus"
2024-06-02,0,60,2.1,1.7,1.9,1510,2.7,50,2.6,4970,6480,14.3,64.3,5534,15.1,26.8,13.2,6,192,"1","Barbus barbus"
2024-06-09,0,-2070,-9.4,-2.1,-0.9,2070,2.4,17.7,2.6,3020,5090,15.9,33.6,4292,16,24,12.7,0,192,"1","Barbus barbus"
2024-06-16,0,350,-4.2,3,2.7,390,3,4.6,3,2700,3090,11.5,16.1,2822,16.9,13.1,15.8,0,192,"1","Barbus barbus"
2024-06-23,0,-530,-1.3,0.899999999999999,1.8,620,1.2,1.3,NA,2520,3140,9.9,11.2,2735,18.5,10.5,16.7,0,192,"1","Barbus barbus"
